ID,date_id,player_name,Age,Overall rating,Potential,name,Height,Weight,foot,Best overall,Best position,Growth,Joined,Loan date end,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,Weak foot,Skill moves,Attacking work rate,Defensive work rate,International reputation,Body type,Real face,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Physical / Positioning,Traits,PlayStyles,PlayStyles +,Number of playstyles,date,club_name,start_year,end_year
239085,240034,Erling Haaland,22,91,94,Manchester City2022 ~ 2027,195,94,Left,93,/players?pn=25,3,"Jul 1, 2022",,€185M,€340K,€356.1M,393,47,96,83,77,90,363,79,77,62,63,82,420,82,94,78,94,72,442,94,93,76,93,86,386,87,43,96,74,86,87,114,38,47,29,52,7,14,13,11,7,2170,464,3,3,High,High,5,Unique,Yes,89,93,68,81,45,88,,Power HeaderQuick Step,Acrobatic +,3,2024-03-27,Manchester City,2022.0,2027.0
231747,240034,Kylian Mbappe,24,91,94,Paris Saint Germain2018 ~ 2024,182,75,Right,93,/players?pn=25,3,"Jul 1, 2018",,€181.5M,€230K,€349.4M,415,78,94,73,86,84,405,93,80,69,71,92,462,97,97,93,93,82,426,90,88,88,77,83,362,64,38,93,83,84,88,92,26,34,32,42,13,5,7,11,6,2204,473,4,5,High,Low,5,Unique,Yes,97,90,80,92,36,78,,Finesse ShotRapidFlairTrivelaAcrobaticSolid Player,Quick Step +,7,2024-03-27,Paris Saint Germain,2018.0,2024.0
192985,240034,Kevin De Bruyne,32,91,91,Manchester City2015 ~ 2025,181,75,Right,91,/players?pn=14,0,"Aug 30, 2015",,€103M,€350K,€190.6M,412,95,85,55,94,83,447,86,92,83,94,92,394,74,74,76,92,78,420,92,73,88,75,92,407,75,66,88,95,83,88,189,66,70,53,56,15,13,5,10,13,2325,486,5,4,High,Medium,5,Unique,Yes,74,88,94,87,65,78,,Dead BallPinged PassLong Ball PassWhipped CrossTrivelaLong Shot Taker (CPU AI)Injury ProneLeadership,Incisive Pass +,9,2024-03-27,Manchester City,2015.0,2025.0
231866,240034,Rodrigo Hernandez Cascante,27,90,91,Manchester City2019 ~ 2027,191,82,Right,90,/players?pn=10,1,"Jul 4, 2019",,€122.5M,€260K,€235.8M,373,71,70,81,92,59,402,81,80,63,90,88,349,59,65,65,93,67,433,92,81,89,83,88,391,85,84,76,84,62,87,257,92,87,78,49,10,10,7,14,8,2254,476,4,3,High,High,4,Normal (185+),Yes,62,77,84,82,86,85,,Long Ball PassBruiserAerialLong Shot Taker (CPU AI)Solid Player,Power Shot +,6,2024-03-27,Manchester City,2019.0,2027.0
202126,240034,Harry Kane,29,90,90,FC Bayern München2023 ~ 2027,188,85,Right,90,/players?pn=25,0,"Aug 12, 2023",,€119.5M,€170K,€197.2M,440,80,95,89,87,89,404,82,82,65,88,87,370,67,71,66,93,73,432,93,87,81,84,87,395,80,42,94,87,92,92,130,46,46,38,54,8,10,11,14,11,2225,461,5,3,High,High,5,Unique,Yes,69,93,84,83,49,83,,Long Ball PassFirst TouchTrivelaLong Shot Taker (CPU AI),Incisive Pass +,5,2024-03-27,nchen,2023.0,2027.0
192119,240034,Thibaut Courtois,31,90,90,Real Madrid2018 ~ 2026,200,96,Left,90,/players?pn=0,0,"Aug 9, 2018",,€63M,€250K,€129.2M,86,14,14,13,33,12,110,13,19,20,35,23,290,42,52,63,88,45,250,57,68,38,70,17,122,23,15,13,44,27,66,54,20,18,16,433,85,89,76,90,93,1345,479,3,1,Medium,Medium,5,Unique,Yes,85,89,76,93,46,90,,Far ThrowCross Claimer,,2,2024-03-27,Real Madrid,2018.0,2026.0
188545,240034,Robert Lewandowski,34,90,90,FC Barcelona2022 ~ 2026,185,81,Right,90,/players?pn=25,0,"Jul 18, 2022",,€58M,€340K,€118.9M,433,76,93,91,84,89,410,86,79,85,70,90,404,76,75,77,93,83,432,91,92,76,89,84,395,81,49,94,81,90,88,96,35,42,19,51,15,6,12,8,10,2221,461,4,4,High,Medium,5,Unique,Yes,75,91,80,87,44,84,,Finesse ShotChip ShotPower ShotIncisive PassFirst TouchTrivelaSolid Player,Power Header +,8,2024-03-27,FC Barcelona,2022.0,2026.0
158023,240034,Lionel Messi,36,90,90,Inter Miami2023 ~ 2025,169,67,Left,91,/players?pn=18,0,"Jul 16, 2023",,€41M,€23K,€61.5M,409,83,89,60,91,86,465,96,93,93,90,93,435,87,74,91,88,95,382,83,71,70,68,90,342,44,40,91,92,75,96,79,20,35,24,54,6,11,15,14,8,2166,448,4,4,Low,Low,5,Unique,Yes,80,87,90,94,33,64,,Finesse ShotDead BallIncisive PassTiki TakaQuick StepTrivelaLong Shot Taker (CPU AI),Technical +,8,2024-03-27,Inter Miami,2023.0,2025.0
239818,240034,Ruben Santos Gato Alves Dias,26,89,90,Manchester City2020 ~ 2027,187,82,Right,89,/players?pn=5,1,"Sep 29, 2020",,€106.5M,€250K,€205M,285,54,29,87,83,32,309,64,46,48,76,75,328,54,69,60,89,56,352,74,84,78,90,26,314,93,86,39,51,45,81,269,91,91,87,47,7,8,13,7,12,1904,412,4,2,Medium,High,4,Normal (185+),Yes,62,39,66,69,89,87,,Power HeaderBlockLeadership,Bruiser +,4,2024-03-27,Manchester City,2020.0,2027.0
238794,240034,Vinicius Jose De Oliveira Junior,22,89,94,Real Madrid2018 ~ 2027,176,73,Right,89,/players?pn=27,5,"Jul 12, 2018",,€158.5M,€310K,€336.8M,369,78,89,50,80,72,398,92,77,62,77,90,454,95,95,94,86,84,379,76,74,84,65,80,317,58,26,87,81,65,79,75,32,25,18,36,5,7,7,7,10,2028,443,4,5,High,Medium,5,Lean (170-185),Yes,95,82,78,90,29,69,,Finesse ShotChip ShotRapidFlairFirst TouchTrivela,Quick Step +,7,2024-03-27,Real Madrid,2018.0,2027.0
